gene_id	median_absolute_deviation
230	2522.025768929786
54407	2520.444232929542
2823	2518.465308404073
1345	2513.354603549209
968	2511.9172039680575
397	2510.9284814435337
1831	2509.5522420110647
1604	2508.4304102273836
9636	2504.7275334559667
191	2504.012333200277
9588	2502.4038181787573
10521	2488.648872382188
2099	2484.722091553538
2799	2483.4912629244036
6692	2483.4229819634093
22822	2482.65543970365
3383	2481.517993467283
730	2481.3856316859037
23022	2479.9772817264707
4735	2476.5386088725495
5591	2474.82522504806
2746	2474.5107611960834
1464	2470.3711341284184
1495	2466.2684137140686
6535	2463.5428872757407
2288	2463.5066713820484
2625	2460.466596661351
11098	2459.7412431523117
4824	2457.7419277477006
824	2455.327544985058
5500	2454.7340923046618
2013	2451.4208342316697
6506	2451.0924069490716
5351	2450.566169408534
714	2450.122557264774
3927	2447.2717539512455
79888	2441.7562068418474
81539	2441.524052888527
6510	2440.716598111951
9518	2440.0986601538125
4599	2439.7027652707293
10158	2439.2392938528587
2318	2436.5961622653535
6275	2436.3816010130204
3178	2433.0696709678264
5589	2427.157179946153
7295	2427.020593657551
9368	2421.850724852683
7803	2405.2090845466737
3909	2404.6812190019214
4784	2403.8140324984647
28996	2401.1689769084696
8614	2397.3718527424644
2817	2395.2197348732575
9124	2395.022799553439
5250	2395.0088589217876
678	2391.225871424195
255743	2390.250447965721
10618	2389.2429947254604
6422	2378.7676629379125
80223	2375.5008899214085
6184	2372.8516014694983
57674	2370.635219740208
10134	2369.5597713381308
9444	2367.5798379776675
6746	2365.143090620112
11014	2362.9327115082656
50506	2361.3495775696183
3423	2359.624995623004
949	2357.4448683714572
813	2354.507633766183
6383	2351.673697432066
6520	2351.5847272644796
23204	2351.0833442195576
7317	2350.1490230883205
22948	2349.921337990358
4684	2346.806526358194
2621	2346.5088516568644
51599	2345.680907272988
11337	2344.2285806246855
2771	2325.7823745971536
4053	2321.871087849666
1808	2320.2168428597433
64114	2318.548720449156
57142	2317.3313223982027
4143	2316.8826180100896
10627	2315.95808439651
26471	2312.3785634213614
5045	2306.8752726161315
5104	2304.5138716379474
10971	2298.398876311872
55920	2296.620688145637
23770	2294.7884906829113
894	2292.2246439467463
3417	2291.3878251070514
950	2290.9786846378747
3020	2288.9483118478456
23471	2287.470045213605
7916	2287.0956682391648
9741	2285.4141958786513
3710	2285.226066662727
7351	2280.0792451232833
163	2276.597797147143
5621	2272.701971007459
4036	2272.1648307632277
10487	2268.3468279872504
3428	2264.082047569222
6647	2263.9105786015625
57648	2255.353581346445
3183	2254.6485506881136
5328	2252.3513357877473
6147	2248.8764899164
60681	2247.382335881909
1824	2244.3769759907564
1513	2243.8270631595233
6285	2241.368772706129
8991	2240.6395970163644
54206	2235.1918800886406
10959	2232.0552163707325
4495	2231.654962344335
3313	2230.751873235648
8721	2224.14881247501
10135	2223.4492017700586
3192	2223.431982240719
483	2221.9929742545532
7163	2210.3557815451227
439921	2210.293762669087
231	2210.248792526836
51129	2209.865610431898
18	2209.032092158469
7296	2207.722988054324
3127	2205.487203972519
7529	2202.6652029684788
7415	2201.787697939993
808	2200.2819277322787
1266	2198.4958756719334
6898	2198.3686633429693
1727	2197.9107109411216
6519	2193.1247327679866
316	2193.078136472079
1933	2189.5243973047086
6748	2189.3749069325754
2202	2189.1002958577083
1520	2188.90177476574
218	2186.805233100591
10485	2186.3599384713366
26509	2185.25995184241
3678	2182.7638122930816
1917	2182.295583359085
5268	2181.9422683785497
6558	2176.23956350445
5573	2173.568683248968
309	2171.521721841173
10974	2170.1869231949213
3015	2169.58548356712
8531	2166.1955943061703
1910	2166.164239331358
7791	2156.42024030346
517	2156.3380625813334
220	2150.579793335125
80727	2150.348953525226
5420	2147.9977006575587
92154	2145.41483742249
5708	2145.2557413332784
389	2144.6742517344137
7153	2143.157814626735
514	2139.950051389403
9902	2134.0448782747258
3091	2132.732314263856
1890	2132.064350809945
5226	2131.8147718432715
4267	2130.345527013743
1848	2125.4205919421465
10509	2124.830920804716
493	2113.931036669573
5885	2113.4754184097137
10313	2113.3393242254024
6659	2111.586031374223
3053	2106.6924289715125
9948	2100.6438387053504
9528	2099.979568805757
6653	2098.5149369336955
7267	2095.4423733730932
4128	2094.891114895639
25803	2094.4195677751827
8425	2094.3395957481307
4841	2093.7059387399822
91663	2093.6147485896236
4239	2091.541197764523
3685	2090.7244623759275
1893	2090.2987467446424
51181	2090.238127347583
84168	2089.7704761275095
23600	2088.2560132174463
7412	2085.2282532167837
6446	2084.4029753481686
6628	2084.2706907975044
57326	2083.5020582388847
5204	2081.5910573787064
23208	2077.92287425946
7851	2077.740556288176
3169	2075.7525030200018
10972	2075.047346469843
1397	2074.5774162108896
23428	2069.8978616813256
127	2068.313553440933
23516	2067.830514125417
214	2066.4767156649505
1265	2063.655570112665
468	2063.305413910444
1019	2060.5519678615015
3337	2059.797400916786
7054	2057.49773203277
4054	2056.9470493618946
9592	2054.5191295921672
1510	2051.2594626305754
5518	2048.8268477884158
1822	2047.4013279055675
6638	2042.3530738521367
11346	2041.2331331016155
3146	2038.4689350948145
7837	2037.6486533288405
3920	2036.3230824920822
11067	2035.1562374142202
828	2032.5074272028035
3190	2031.8076142843408
9249	2030.988507789017
182	2028.008033155053
1892	2027.7569563716656
3983	2027.5225436991789
10418	2022.914709028452
7280	2022.8935955532868
1366	2022.501804383478
9622	2020.9009268593645
6542	2019.2786941033703
5692	2019.0405114593802
7001	2017.4072868577966
760	2012.2976067273876
1294	2010.118822312686
10525	2007.4966624935767
1593	2005.7867307106146
51142	2003.407549969477
6720	2002.6043746554092
2022	2000.4741733513858
3117	2000.1122405389308
5118	1999.4180994903227
5901	1998.9876637025377
22809	1998.3770605505424
929	1997.9141081353866
56889	1997.0459056520756
5159	1995.0313114402024
11031	1994.1166078435785
1267	1993.0002706593798
3249	1992.6726331514417
51208	1992.238245534448
5355	1991.1775727679772
126393	1990.0662017273103
56649	1989.975385964821
5447	1988.3718013973187
908	1983.9851357321063
4651	1982.2940976592631
5223	1979.060365858381
8671	1978.327807989804
2879	1974.5676230003405
25849	1973.3567520399456
311	1966.818120431116
79586	1965.7916644545287
4641	1965.4403231438416
92747	1965.0645380215722
359	1964.8942428179646
